seller_state,product_id,product_category_name,receita_vendas
SC,b9ac7314894a193a11fd3150f8c69307,beleza_saude,3841.3
SP,c07d367dd7b78b0558e7a3e1e1a975c8,cama_mesa_banho,3798.0
SP,362b773250263786dd58670d2df42c3b,esporte_lazer,3782.7
PR,056063b2634974ef86ccb7da2d3d0dbf,esporte_lazer,3743.0
RJ,06c950c36d589b39b34f5dc1d4a75e29,beleza_saude,3740.55
SP,338925450cde31710e3fd65b8bac0b1f,beleza_saude,3740.0
PR,3880d25d502b15b1de6fddc42ad1d67a,esporte_lazer,3597.0
SP,8562e2c780a345b609e1b802d7e3e4ae,cama_mesa_banho,3595.5
SP,ce6f74096c84567f22728c84f3d6e7fc,cama_mesa_banho,3576.8
SP,e213c4ab14d85a5a4a987bb6c543a952,esporte_lazer,3559.0
SP,7a3bc1b5f3ad201ecd5d03d51d34bedd,beleza_saude,3550.9
SP,81288df52439985f610be64465e53f57,esporte_lazer,3537.7
PR,813a30050677eb6996e12eea9ad400bf,beleza_saude,3522.0
SP,6cc44821f36f3156c782da72dd634e47,cama_mesa_banho,3506.5
SP,7cb1e417bdc1490f948ee59caccb6e1b,beleza_saude,3497.0
SP,f2e53dd1670f3c376518263b3f71424d,cama_mesa_banho,3494.8
SP,f3b82a9bd4330abce1d6fc15a966e6d7,beleza_saude,3487.48
SP,821719b9a2288a792ba3ca0c9962f467,cama_mesa_banho,3480.0
SP,e61c78a7343d82c0539d27df0f7dfc31,cama_mesa_banho,3478.3
SP,704ef63ad0ac345842ea734060a83db2,cama_mesa_banho,3410.5
PR,ee5329ffbe604bebcf84b2fd7792024e,beleza_saude,3378.0
SP,c5038055690911ed8e218cceb07acdf8,esporte_lazer,3375.1
RJ,b596e2d70dd2f5fb5ff9ee2a1c803e5b,esporte_lazer,3354.87
RJ,277acb101c00b04ed2eabf11a7285a7c,beleza_saude,3297.0
SP,77cc62dc80ebe12a0452d1ce0565acdc,esporte_lazer,3277.0
SP,086351823300e0339f6955b27998c186,cama_mesa_banho,3270.9
SP,429e7401fafb76436f15e86498bd7364,cama_mesa_banho,3238.4
RS,c87a617241993d71f043ed39858daa43,beleza_saude,3215.0
SP,d63c1011f49d98b976c352955b1c4bea,beleza_saude,3199.46
SP,2fea0f2cec6b6324a277d4a61c2ed2c6,beleza_saude,3199.0
PR,76951acb34204078c0dc377dfc4233aa,beleza_saude,3194.7
SP,372645c7439f9661fbbacfd129aa92ec,cama_mesa_banho,3172.1
PR,91846781ef75057e134949400768e272,esporte_lazer,3169.16
RJ,079189201e6c6f0b0f70d118fff53fd5,beleza_saude,3157.2
SC,b0e9f0cc1a936b07b4fc11b3a35ad519,beleza_saude,3155.4
SP,0c104824e973388d487c67a3d346e96d,beleza_saude,3124.0
SP,0cf5798cf0a69ca39b286d63dd5a9501,esporte_lazer,3099.0
SP,7340a3839a1de1e99d149b8cf052a2ec,cama_mesa_banho,3070.0
PR,008cff0e5792219fae03e570f980b330,esporte_lazer,3054.88
SP,d692d19cee022f7acab76373f297ad6a,cama_mesa_banho,3016.0
SP,283dc451ad3918badb976d56ff887289,cama_mesa_banho,3006.7
SP,c41394a593b75e8e4f3d1fb5e93e151e,esporte_lazer,2999.97
PR,cc1829caca1897ee76144ef20a32330f,esporte_lazer,2999.9
RJ,b83ba81552d0748b45288e7e57c62888,beleza_saude,2998.25
MG,ae083e4a334a4210ae0ef7323f1584c5,beleza_saude,2980.8
PR,30469bb5ea377eae7121981e2f0778e4,esporte_lazer,2954.1
SP,2cd4861a56a6f98288e0281e47f4b1d5,cama_mesa_banho,2954.0
SP,5b226d7c52f86ac72457617f78cff95d,cama_mesa_banho,2953.58
SP,8a443635fdf9759915c9be5be2e3b862,cama_mesa_banho,2947.2
SP,a1efe4a86746c22541813e22e1d23e33,cama_mesa_banho,2938.1
SP,1a405418406359cc2b8815f93bf359c2,esporte_lazer,2927.8
SP,797897e182469fff3c330560d2fc851f,beleza_saude,2899.0
SP,52e9413ed0d3e64b796aac2bc2291d50,esporte_lazer,2878.1
SP,9565229244e9341fb8c8069879cf73cd,cama_mesa_banho,2838.1
SP,564f6ff7ae760d6eda6d32c551724036,cama_mesa_banho,2808.5
SP,77ccda894b672fe1214b0101d108d7f7,beleza_saude,2805.0
SP,703d742887bb9267f89b675608ba7aa0,cama_mesa_banho,2805.0
RJ,817880704f1fcf911b4342385f701fc1,beleza_saude,2799.65
RJ,d7324d4c913e7b424cb61675dafc8c10,esporte_lazer,2799.0
RJ,fe75529a267b76ac6e96f0c322a899a4,beleza_saude,2791.5
SP,19421075ae0b585f2dc13ff149e2119d,esporte_lazer,2788.1
RJ,44c7b85d371365e52230e2e0efb8e0d8,beleza_saude,2749.65
RS,ae347727b83d554247d6cc36029a8392,beleza_saude,2718.0
SP,d06466afa11453b6450b70992c90ece7,beleza_saude,2710.0
SP,e63cb7bb4e916e643c1d4785da2b2846,beleza_saude,2699.0
PR,2483416c14aa8d93dad96745a9230bfa,beleza_saude,2688.0
PR,d918b3f4aa5272c2c3cd088d087ca069,esporte_lazer,2682.2
SP,4308439e0d80d5fe03f17ba83b57c493,beleza_saude,2679.71
MG,c9c455f9fd8ca66d3ff7f90a249753b4,esporte_lazer,2638.8
SP,ee473bd1ca4e671eafbcb7453d7d7c5f,esporte_lazer,2636.0
